;dataset105_7sites_15samples;site;laboratory_job_re6;laboratory_re6_sample_bis;MinC;T10_HC_PYR;T30_HC_PYR;T50_HC_PYR;T70_HC_PYR;T90_HC_PYR;T10_CO_PYR;T30_CO_PYR;T50_CO_PYR;T70_CO_PYR;T90_CO_PYR;T10_CO2_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T10_CO_OX;T30_CO_OX;T50_CO_OX;T70_CO_OX;T90_CO_OX;T10_CO2_OX;T30_CO2_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;PseudoS1_PC;PseudoS1_TOCre6;S2;S2_PC;HI;OIre6;HI_OIre6;PC;PC_TOCre6;TOCre6;I_index;R_index;TLHC_index;soc_ea_g_kg;retained_soc_g_kg;defined_retained_soc_g_kg;cpsoc_sample_proportion;sd_cpsoc_sample_proportion
vers_1939_32;yes;versailles;2015-02;no;1.3;305;375;426;468;529;306;357;403;456;521;282;335;381;431;501;335;390;456;526;612;329;377;420;476;547;0.114040437025808;0.0407287275092171;0.00927158024600065;1.60879067142031;0.574568096935825;158;192.727272727273;0.819811320754716;2.8;0.227642276422764;12.3;0.172965073853822;0.605437666580604;0.610983284920707;11.9092611710283;12.3;tocre6;0.447154471544715;0.0445293080929399
vers_1950_32;yes;versailles;2015-02;no;1.9;301;369;422;467;530;302;354;402;457;524;279;334;381;434;505;341;407;476;538;689;332;381;427;484;551;0.093827145589843;0.0446795931380205;0.0093827145589843;1.09909455503924;0.523378359542495;133;202.753246753247;0.655969766846015;2.1;0.21;10;0.216496799340306;0.584270514089616;0.623594023714632;11.3;10;tocre6;0.55;0.0570635610525666
vers_1960_11;yes;versailles;2015-02;no;1.3;296;363;417;464;533;304;356;404;460;525;278;335;385;439;508;353;438;519;574;646;337;390;440;501;568;0.105123485458679;0.0525617427293395;0.010206163636765;1.03765302273126;0.51882651136563;121;180.779220779221;0.669324712643677;2;0.194174757281553;10.3;0.239095679088649;0.566281486975203;0.64138656077175;8.9;10.3;tocre6;0.533980582524272;0.055030974031182
vers_1960_32;yes;versailles;2015-02;no;0.8;302;368;419;466;535;303;354;402;458;525;279;335;384;436;506;351;431;507;569;739;334;384;431;486;551;0.0742612887267393;0.043683111015729;0.00916806033663448;0.812438020705628;0.477904718062134;121;205.246753246753;0.589534295115161;1.7;0.209876543209877;8.1;0.224927575873044;0.577549754468467;0.63141806582594;9.4;8.1;tocre6;0.679012345679012;0.0746137175692688
vers_1968_11;yes;versailles;2015-02;no;2.9;292;358;413;463;535;304;356;405;461;527;282;338;387;440;508;370;484;566;665;776;339;391;441;500;566;0.126050011669333;0.0700277842607406;0.0128622460887074;0.888111118677955;0.493395065932197;109;159.012987012987;0.685478601764129;1.8;0.183673469387755;9.8;0.276021091629973;0.548017191885416;0.649575424347691;10.5;9.8;tocre6;0.561224489795918;0.0585062596980121
vers_1968_32;yes;versailles;2015-02;no;1.7;290;355;410;460;528;301;352;400;456;524;279;335;385;438;507;360;450;533;622;757;337;390;438;494;560;0.0840057471891171;0.0525035919931982;0.0101211743601346;0.818899157484253;0.511811973427658;119;183.220779220779;0.649489651261696;1.6;0.192771084337349;8.3;0.28581850260469;0.538203879679682;0.66087624160741;9.1;8.3;tocre6;0.662650602409638;0.0722667088860161
vers_1980_11;yes;versailles;2015-02;no;2.8;291;356;410;462;537;300;352;400;458;526;279;337;387;440;509;380;495;578;671;765;342;396;445;501;565;0.0878654785718358;0.0627610561227399;0.010715302264858;0.664376005915244;0.47455428993946;98;170.857142857143;0.573578595317725;1.4;0.170731707317073;8.2;0.301459136813462;0.536555242818069;0.655554270951719;7.5;8.2;tocre6;0.670731707317073;0.0734213447828503
vers_1980_32;yes;versailles;2015-02;no;1.4;286;352;406;458;532;301;352;398;455;524;278;337;387;440;509;369;463;536;600;758;340;393;444;501;564;0.0849171561525885;0.0606551115375632;0.0119601628383927;0.696097278136875;0.497212341526339;118;189.246753246753;0.623524567664014;1.4;0.197183098591549;7.1;0.3122947330995;0.523713995195292;0.67083528386982;7.4;7.1;tocre6;0.774647887323944;0.0890804527646011
vers_1991_32;yes;versailles;2015-03;no;1.8;280;346;402;455;528;298;349;397;458;526;280;338;387;441;510;372;471;543;605;741;342;397;449;506;567;0.158876357538886;0.113483112527776;0.0230255590636067;0.702372793451929;0.501694852465664;123;169.246753246753;0.726749539594845;1.4;0.202898550724638;6.9;0.337442382125886;0.504425182668555;0.684325368080185;6.6;6.9;tocre6;0.797101449275362;0.0926678362464011
vers_2002_32;yes;versailles;2015-02;no;1.4;282;345;400;454;534;299;349;399;458;526;281;340;391;445;512;383;486;551;622;747;343;401;455;509;568;0.0710679638724243;0.0592233032270202;0.0112806291860991;0.644312835130364;0.536927362608637;124;158.12987012987;0.784165571616295;1.2;0.19047619047619;6.3;0.359587255797408;0.497942219459698;0.687169264026484;6;6.3;tocre6;0.873015873015873;0.10535416743288
vers_2008_32;yes;versailles;2015-02;no;1;295;367;419;450;521;300;353;405;467;530;279;340;391;447;517;378;456;524;586;769;348;405;453;505;563;0.0550924072103696;0.0500840065548815;0.00983792985899457;0.580224282321097;0.527476620291906;125;176.883116883117;0.706681350954478;1.1;0.196428571428571;5.6;0.0892516625067538;0.582548409716062;0.707029824143185;5.5;5.6;tocre6;0.982142857142857;0.125146743961674
